"","degree","density","marketsales","totalmarketsales"
"1",13,0.648351648351648,0,0
"2",36,0.292792792792793,0,0
"3",26,0.333333333333333,0,0
"4",17,0.398692810457516,0,0
"5",38,0.299595141700405,1,411
"6",6,0.666666666666667,0,0
"7",34,0.381512605042017,11,5504
"8",20,0.347619047619048,1,424
"9",10,0.581818181818182,0,0
"10",16,0.529411764705882,0,0
"11",10,0.490909090909091,0,0
"12",25,0.332307692307692,0,0
"13",26,0.518518518518518,1,401
"14",14,0.438095238095238,0,0
"15",10,0.545454545454545,0,0
"16",51,0.350678733031674,0,0
"17",26,0.341880341880342,1,414
"18",44,0.316161616161616,0,0
"19",10,0.727272727272727,0,0
"20",33,0.306595365418895,0,1
"21",40,0.358536585365854,0,0
"22",32,0.253787878787879,0,0
"23",15,0.675,0,0
"24",15,0.583333333333333,0,0
"25",36,0.424924924924925,0,2
"26",24,0.4,0,0
"27",27,0.402116402116402,0,0
"28",5,0.866666666666667,0,0
"29",27,0.375661375661376,0,0
"30",13,0.659340659340659,0,0
"31",40,0.321951219512195,0,0
"32",39,0.328205128205128,0,0
"33",30,0.468817204301075,2,1002
"34",11,0.742424242424242,1,422
"35",23,0.434782608695652,4,1442
"36",14,0.485714285714286,0,0
"37",17,0.483660130718954,0,0
"38",24,0.416666666666667,0,0
"39",13,0.615384615384615,0,0
"40",18,0.39766081871345,0,0
"41",12,0.602564102564103,0,0
"42",11,0.712121212121212,0,0
"43",22,0.383399209486166,1,500
"44",16,0.551470588235294,0,0
"45",29,0.480459770114943,3,1222
"46",12,0.448717948717949,1,405
"47",8,0.694444444444444,0,0
"48",6,0.714285714285714,0,0
"49",10,0.581818181818182,0,0
"50",18,0.456140350877193,15,7512
"51",13,0.582417582417582,0,0
"52",40,0.278048780487805,7,3384
"53",42,0.343300110741971,1,370
"54",9,0.533333333333333,0,0
"55",8,0.472222222222222,0,0
"56",9,0.644444444444444,0,0
"57",28,0.322660098522168,4,2002
"58",20,0.438095238095238,0,0
"59",26,0.398860398860399,0,0
"60",12,0.474358974358974,0,0
"61",7,0.535714285714286,0,0
"62",16,0.676470588235294,0,0
"63",26,0.464387464387464,3,1346
"64",16,0.492647058823529,0,0
"65",30,0.324731182795699,0,0
"66",30,0.331182795698925,0,0
"67",3,0.833333333333333,13,6535
"68",31,0.346774193548387,0,0
"69",17,0.581699346405229,0,0
"70",10,0.6,0,0
"71",15,0.566666666666667,1,374
"72",9,0.577777777777778,0,0
"73",36,0.352852852852853,0,0
"74",34,0.389915966386555,0,0
"75",20,0.457142857142857,4,1845
"76",25,0.406153846153846,0,0
"77",10,0.545454545454545,0,0
"78",15,0.525,0,0
"79",24,0.386666666666667,0,0
"80",18,0.60233918128655,0,0
"81",20,0.471428571428571,0,0
"82",46,0.307123034227567,0,0
"83",13,0.472527472527473,0,0
"84",27,0.396825396825397,0,0
"85",32,0.443181818181818,1,442
"86",30,0.391397849462366,0,0
"87",5,0.466666666666667,0,0
"88",55,0.224025974025974,0,0
"89",13,0.56043956043956,1,328
"90",13,0.505494505494505,0,0
"91",44,0.335353535353535,0,0
"92",10,0.763636363636364,1,358
"93",12,0.679487179487179,0,11
"94",16,0.477941176470588,0,0
"95",15,0.433333333333333,0,0
"96",14,0.628571428571429,0,0
"97",22,0.490118577075099,1,434
"98",14,0.504761904761905,0,0
"99",19,0.457894736842105,0,0
"100",12,0.576923076923077,0,0
